horizon,feature_selection_method,model,validation_mse,zero_forecast_mse,relative_mse_zero,validation_correlation,validation_direction_accuracy,validation_mae,validation_magnitude_mae,validation_magnitude_correlation,validation_amplitude_ratio,selected_parameters,selected_feature_count,selected_features,signal_timing,daily_data_trading_eligible,event_exclusions_applied,event_excluded_rows,event_exclusion_file,active_feature_count,active_features,feature_selection_alpha,interaction_regime_pool,huber_block_bagging_applied,within_near_best_tolerance
1,aic,Huber,8.637783854376358e-05,0.0001042166652454,0.8288294232053531,0.4371196704810124,0.6568627450980392,0.0060095810979601,0.005134354954937,0.16292006033058,0.2727090697849104,"{'alpha': 0.001, 'epsilon': 1.1, 'fit_intercept': True, 'max_iter': 5000, 'tol': 1e-05, 'warm_start': False}; block_bagging(n_estimators=50, block_size=20, random_state=42)",14,"return_1d,momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,breakeven_inflation_10y,oil_momentum_5d,shanghai_gold_premium,premium_change_5d,shfe_gold_settle_return_1d,momentum_5d_x_volatility_20d,volatility_20d",previous_close,True,True,30,data/event_exclusions.csv,14,"return_1d,momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,breakeven_inflation_10y,oil_momentum_5d,shanghai_gold_premium,premium_change_5d,shfe_gold_settle_return_1d,momentum_5d_x_volatility_20d,volatility_20d",0.05,interactions,True,True
1,aic,OLS,8.858688126774927e-05,0.0001042166652454,0.8500260592595119,0.4084499677868077,0.6642156862745098,0.006098340303695,0.0052570921729959,0.1298306496701896,0.2513149142340118,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False, 'tol': 1e-06}",14,"return_1d,momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,breakeven_inflation_10y,oil_momentum_5d,shanghai_gold_premium,premium_change_5d,shfe_gold_settle_return_1d,momentum_5d_x_volatility_20d,volatility_20d",previous_close,True,True,30,data/event_exclusions.csv,14,"return_1d,momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,breakeven_inflation_10y,oil_momentum_5d,shanghai_gold_premium,premium_change_5d,shfe_gold_settle_return_1d,momentum_5d_x_volatility_20d,volatility_20d",0.05,interactions,False,False
1,aic,Ridge,8.858691058041852e-05,0.0001042166652454,0.8500263405261326,0.4084508759040846,0.6642156862745098,0.0060983400491505,0.005257097794347,0.1298305329012963,0.251312639229883,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",14,"return_1d,momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,breakeven_inflation_10y,oil_momentum_5d,shanghai_gold_premium,premium_change_5d,shfe_gold_settle_return_1d,momentum_5d_x_volatility_20d,volatility_20d",previous_close,True,True,30,data/event_exclusions.csv,14,"return_1d,momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,breakeven_inflation_10y,oil_momentum_5d,shanghai_gold_premium,premium_change_5d,shfe_gold_settle_return_1d,momentum_5d_x_volatility_20d,volatility_20d",0.05,interactions,False,False
1,aic,ElasticNet,8.858703620396078e-05,0.0001042166652454,0.8500275459335591,0.4084740676808198,0.6642156862745098,0.0060983029363464,0.005257171144323,0.1298368750381005,0.251272962683603,"{'alpha': 1e-06, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.1, 'max_iter': 50000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",14,"return_1d,momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,breakeven_inflation_10y,oil_momentum_5d,shanghai_gold_premium,premium_change_5d,shfe_gold_settle_return_1d,momentum_5d_x_volatility_20d,volatility_20d",previous_close,True,True,30,data/event_exclusions.csv,14,"return_1d,momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,breakeven_inflation_10y,oil_momentum_5d,shanghai_gold_premium,premium_change_5d,shfe_gold_settle_return_1d,momentum_5d_x_volatility_20d,volatility_20d",0.05,interactions,False,False
1,aic,Lasso,8.85884521274066e-05,0.0001042166652454,0.8500411322773793,0.4086879711778939,0.6617647058823529,0.0060979672274059,0.0052578548788345,0.129895159463435,0.2509004895335865,"{'alpha': 1e-06, 'copy_X': True, 'fit_intercept': True, 'max_iter': 50000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",14,"return_1d,momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,breakeven_inflation_10y,oil_momentum_5d,shanghai_gold_premium,premium_change_5d,shfe_gold_settle_return_1d,momentum_5d_x_volatility_20d,volatility_20d",previous_close,True,True,30,data/event_exclusions.csv,14,"return_1d,momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,breakeven_inflation_10y,oil_momentum_5d,shanghai_gold_premium,premium_change_5d,shfe_gold_settle_return_1d,momentum_5d_x_volatility_20d,volatility_20d",0.05,interactions,False,False
7,aic,Huber,0.0004122946016386,0.0004399888434672,0.9370569453299872,0.1875038303004459,0.5318627450980392,,,,,"{'alpha': 0.01, 'epsilon': 1.1, 'fit_intercept': True, 'max_iter': 5000, 'tol': 1e-05, 'warm_start': False}",14,"momentum_5d,momentum_20d,volatility_20d,ma_gap_20d,xauusd_momentum_5d,xauusd_volatility_20d,usdcnh_momentum_5d,real_yield_10y,nominal_yield_change_5d,sp500_volatility_20d,premium_change_5d,momentum_5d_x_volatility_20d,premium_x_usdcnh,shanghai_gold_premium",previous_close,True,True,49,data/event_exclusions.csv,14,"momentum_5d,momentum_20d,volatility_20d,ma_gap_20d,xauusd_momentum_5d,xauusd_volatility_20d,usdcnh_momentum_5d,real_yield_10y,nominal_yield_change_5d,sp500_volatility_20d,premium_change_5d,momentum_5d_x_volatility_20d,premium_x_usdcnh,shanghai_gold_premium",0.05,interactions,,False
2,aic,Huber,0.0001534840596381,0.0001637134665706,0.9375163989452304,0.3075124821746034,0.5686274509803921,,,,,"{'alpha': 0.0001, 'epsilon': 1.1, 'fit_intercept': True, 'max_iter': 5000, 'tol': 1e-05, 'warm_start': False}",13,"momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,sp500_momentum_5d,shanghai_gold_premium,premium_change_5d,momentum_5d_x_volatility_20d,premium_x_usdcnh,volatility_20d,usdcnh_momentum_5d",previous_close,True,True,37,data/event_exclusions.csv,13,"momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,sp500_momentum_5d,shanghai_gold_premium,premium_change_5d,momentum_5d_x_volatility_20d,premium_x_usdcnh,volatility_20d,usdcnh_momentum_5d",0.05,interactions,,False
2,aic,Ridge,0.0001536150496881,0.0001637134665706,0.9383165166922844,0.2905653653703258,0.5612745098039216,,,,,"{'alpha': 100.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",13,"momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,sp500_momentum_5d,shanghai_gold_premium,premium_change_5d,momentum_5d_x_volatility_20d,premium_x_usdcnh,volatility_20d,usdcnh_momentum_5d",previous_close,True,True,37,data/event_exclusions.csv,13,"momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,sp500_momentum_5d,shanghai_gold_premium,premium_change_5d,momentum_5d_x_volatility_20d,premium_x_usdcnh,volatility_20d,usdcnh_momentum_5d",0.05,interactions,,False
2,aic,ElasticNet,0.0001537299993398,0.0001637134665706,0.9390186559485272,0.2791575659317805,0.5588235294117647,,,,,"{'alpha': 0.0001, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.1, 'max_iter': 50000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",13,"momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,sp500_momentum_5d,shanghai_gold_premium,premium_change_5d,momentum_5d_x_volatility_20d,premium_x_usdcnh,volatility_20d,usdcnh_momentum_5d",previous_close,True,True,37,data/event_exclusions.csv,13,"momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,sp500_momentum_5d,shanghai_gold_premium,premium_change_5d,momentum_5d_x_volatility_20d,premium_x_usdcnh,volatility_20d,usdcnh_momentum_5d",0.05,interactions,,False
2,aic,Lasso,0.0001537305986511,0.0001637134665706,0.9390223166821132,0.2791195774448047,0.5588235294117647,,,,,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 50000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",13,"momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,sp500_momentum_5d,shanghai_gold_premium,premium_change_5d,momentum_5d_x_volatility_20d,premium_x_usdcnh,volatility_20d,usdcnh_momentum_5d",previous_close,True,True,37,data/event_exclusions.csv,13,"momentum_5d,momentum_20d,ma_gap_20d,xauusd_return_1d,xauusd_momentum_5d,usdcnh_return_1d,sp500_momentum_5d,shanghai_gold_premium,premium_change_5d,momentum_5d_x_volatility_20d,premium_x_usdcnh,volatility_20d,usdcnh_momentum_5d",0.05,interactions,,False
