fold,train_rows,test_rows,test_start,test_end,training_uses_dates_after_test,model_file,growth_mae_pp,growth_rmse_pp,growth_bias_pp,growth_median_ae_pp,growth_p90_ae_pp,growth_magnitude_mae_pp,growth_magnitude_bias_pp,price_change_mae_cny_per_gram,price_change_rmse_cny_per_gram,price_change_bias_cny_per_gram
1,2455,273,2015-02-02,2016-03-17,True,C:\Users\27762\Documents\Quant\outputs\huber_10fold_blocked\models\huber_fold_01.joblib,0.5575777257072411,0.7745050418792042,-0.05270749412696804,0.4050241198261618,1.1282052952268236,0.46663849883231284,-0.38145713642605616,1.31399649409356,1.8070566572528959,-0.11514236001998908
2,2455,273,2016-03-18,2017-05-02,True,C:\Users\27762\Documents\Quant\outputs\huber_10fold_blocked\models\huber_fold_02.joblib,0.5392071861357273,0.8181498549614752,-0.1331397939844116,0.3855309226977177,1.1304797843538892,0.42362697247941117,-0.31557302925439223,1.4806819729394665,2.2558622550093275,-0.3491897019446796
3,2455,273,2017-05-03,2018-06-12,True,C:\Users\27762\Documents\Quant\outputs\huber_10fold_blocked\models\huber_fold_03.joblib,0.35048716774810984,0.6036926087012582,0.15407996612516708,0.24631735555217024,0.6619686540148292,0.3051619579439424,-0.25197782286692966,0.9707511697437379,1.7226061628922766,0.43132420178424236
4,2455,273,2018-06-13,2019-07-25,True,C:\Users\27762\Documents\Quant\outputs\huber_10fold_blocked\models\huber_fold_04.joblib,0.3709537659828913,0.5108631511354943,0.056118804976797686,0.27111758860923907,0.7919493664852773,0.30366937914333963,-0.23249402206125844,1.0611746700307607,1.5037807073406042,0.1580196655042566
5,2455,273,2019-07-26,2020-09-07,True,C:\Users\27762\Documents\Quant\outputs\huber_10fold_blocked\models\huber_fold_05.joblib,0.9579627159039714,1.6841538230351925,0.18658047354051469,0.6329750354420463,2.0414161049429196,0.7017636834603929,-0.5512131496084136,3.5019254620872657,5.627657753765979,0.7882827260264567
6,2455,273,2020-09-08,2021-10-27,True,C:\Users\27762\Documents\Quant\outputs\huber_10fold_blocked\models\huber_fold_06.joblib,0.6602884029497497,0.8596840399013314,-0.01933009961389209,0.5501509029338418,1.2740697711653248,0.4753310575791826,-0.40096599516925624,2.5208660818255493,3.288053205607337,-0.05705580443188577
7,2455,273,2021-10-28,2022-12-09,True,C:\Users\27762\Documents\Quant\outputs\huber_10fold_blocked\models\huber_fold_07.joblib,0.571531437769015,0.7763137224268603,0.02092902316627628,0.43602112188786624,1.2134668877098278,0.40666075729603635,-0.307268669042753,2.212768446133717,3.0072363825685793,0.09944926078327045
8,2455,273,2022-12-12,2024-01-23,True,C:\Users\27762\Documents\Quant\outputs\huber_10fold_blocked\models\huber_fold_08.joblib,0.6081359831718781,0.9808105888869971,0.10189239762314141,0.3997441365445358,1.2176361989413704,0.5319115161872245,-0.4308877366151301,2.7811179342308825,4.610169823307929,0.5035901377400045
9,2456,272,2024-01-24,2025-03-24,True,C:\Users\27762\Documents\Quant\outputs\huber_10fold_blocked\models\huber_fold_09.joblib,0.4831312685238489,0.6680128936139638,-0.17396779482923647,0.3637339970412058,1.0474526525484207,0.40661448380660603,-0.3384537256907809,2.790454447132863,3.8460965431329264,-0.9706581816378099
10,2456,272,2025-03-25,2026-06-23,False,C:\Users\27762\Documents\Quant\outputs\huber_10fold_blocked\models\huber_fold_10.joblib,0.7749136858875089,1.063646995989636,0.022739961856398202,0.5492893409459665,1.7362981601612146,0.6411230442588912,-0.4778688075139714,7.141740404700621,10.122782216870396,0.42994399193721894
