feature,mean,std,min,max,positive_models,negative_models,zero_models,dominant_sign_share
breakeven_inflation_10y,0.0007004738772192,0.0003251361491292,0.0001680337464328,0.0010197433015754,10,0,0,1.0
intercept,-0.0010518407787418,0.0006417049200868,-0.0016814172196472,0.0002736692999391,1,9,0,0.9
ma_gap_20d,-1.231360223109538e-05,0.0004602855826567,-0.0006553834532039,0.0010079329704923,4,6,0,0.6
momentum_20d,-0.0003659269131656,0.0003858684515935,-0.0010848438441056,0.0003925037895875,1,9,0,0.9
momentum_5d,0.0009900533764612,0.0004849865325441,-3.463957376248703e-05,0.001605946815712,9,1,0,0.9
momentum_5d_x_volatility_20d,-0.0016040509661165,0.0003981685504636,-0.0022176238134518,-0.0006932946509025,0,10,0,1.0
oil_momentum_5d,2.6181370806896004e-05,0.0001389709613636,-0.0002970362503435,0.0002005122063375,7,3,0,0.7
premium_change_5d,-0.0007706355535865,0.0001705409458106,-0.0010156885418214,-0.0005810515225186,0,10,0,1.0
return_1d,0.0003398856180074,0.0002139133032896,-0.0001409481718918,0.0005943178120778,9,1,0,0.9
shanghai_gold_premium,-0.0004880968261284,0.0004036947540483,-0.0009258608261233,5.088299503529246e-05,1,9,0,0.9
shfe_gold_settle_return_1d,-0.0003024688859445,0.0004319374867803,-0.0011997016007762,0.0001927349653861,3,7,0,0.7
usdcnh_return_1d,-4.819999245605655e-05,0.0001440399123768,-0.0002895865630724,0.0001709590759895,4,6,0,0.6
volatility_20d,0.0002302888632047,0.0001159655487283,4.107844631352861e-05,0.0004172992340384,10,0,0,1.0
xauusd_momentum_5d,7.353663434925918e-05,0.0001390832756189,-9.66499062116332e-05,0.0002724511200143,7,3,0,0.7
xauusd_return_1d,0.001495692995428,0.0005552601708333,0.0008013534044792,0.0023529623688676,10,0,0,1.0
