model_number,training_block_start,training_block_end,test_block,train_rows,test_rows,train_start,train_end,latest_training_exit_date,test_start,test_end,training_dates_strictly_before_test,training_labels_available_by_test_start,model_file,growth_mae_pp,growth_rmse_pp,growth_bias_pp,growth_median_ae_pp,growth_p90_ae_pp,growth_magnitude_mae_pp,growth_magnitude_bias_pp,price_change_mae_cny_per_gram,price_change_rmse_cny_per_gram,price_change_bias_cny_per_gram
1,1,9,10,1287,143,2015-02-17,2020-06-02,2020-06-03,2020-06-03,2020-12-30,True,True,outputs/huber_rolling_19block/models/huber_rolling_model_01.joblib,0.8056429111956326,1.064841225554327,0.1290877210728093,0.6188855008597325,1.8567555002929632,0.5406164566357861,-0.458111673790004,3.2752492897053807,4.363566933677258,0.5558830629810535
2,2,10,11,1287,143,2015-09-18,2020-12-30,2020-12-31,2020-12-31,2021-08-03,True,True,outputs/huber_rolling_19block/models/huber_rolling_model_02.joblib,0.6287763034644018,0.7925390745691685,-0.1130615744924766,0.5343360533205478,1.2095760245030494,0.4848861826146384,-0.4349373201012163,2.364434184827324,2.9726214832741946,-0.4127834334152066
3,3,11,12,1287,143,2016-04-22,2021-08-03,2021-08-04,2021-08-04,2022-03-09,True,True,outputs/huber_rolling_19block/models/huber_rolling_model_03.joblib,0.6649467029236469,0.9102638891896292,-0.0584662307540614,0.4646203081911719,1.4559433178118022,0.5576308626973483,-0.5220740115610487,2.506419964445924,3.4640940844167862,-0.2113353560332037
4,4,12,13,1287,143,2016-11-23,2022-03-09,2022-03-10,2022-03-10,2022-10-13,True,True,outputs/huber_rolling_19block/models/huber_rolling_model_04.joblib,0.5404513415162951,0.7202773918412663,0.076545422035222,0.3958928927459852,1.1320194713354026,0.3978134163968532,-0.3399453044732577,2.114501257920903,2.803810265874452,0.3164708908282975
5,5,13,14,1287,143,2017-06-27,2022-10-13,2022-10-14,2022-10-14,2023-05-16,True,True,outputs/huber_rolling_19block/models/huber_rolling_model_05.joblib,0.4282144957656799,0.5972983766900436,-0.166986783399559,0.3253924135354459,0.8771086349973694,0.3615235848132814,-0.2936126207061483,1.8025191724811245,2.527102094597014,-0.6742839048347712
6,6,14,15,1287,143,2018-01-22,2023-05-16,2023-05-17,2023-05-17,2023-12-13,True,True,outputs/huber_rolling_19block/models/huber_rolling_model_06.joblib,0.8163351132294991,1.273602259594563,0.3004450111894169,0.5918807851627165,1.6626137110249748,0.7368362748000744,-0.6940760922577008,3.801973924062492,6.040521185519232,1.4117859810285769
7,7,15,16,1287,143,2018-08-23,2023-12-13,2023-12-14,2023-12-14,2024-07-17,True,True,outputs/huber_rolling_19block/models/huber_rolling_model_07.joblib,0.5032960616851121,0.6961684237863155,-0.2018778664724928,0.3919803634746208,1.0226019550889829,0.4213834931872789,-0.378726511662538,2.6673105712003204,3.7310406407930943,-1.0508005333937285
8,8,16,17,1287,143,2019-03-29,2024-07-17,2024-07-18,2024-07-18,2025-03-04,True,True,outputs/huber_rolling_19block/models/huber_rolling_model_08.joblib,0.4974522989271224,0.695070163564802,-0.1421870176044174,0.4062771763553908,1.1380540757905335,0.440455917606939,-0.4141638788284649,3.0235423790215243,4.19275502381009,-0.8410921199231889
9,9,17,18,1287,143,2019-10-31,2025-03-04,2025-03-05,2025-03-05,2025-10-17,True,True,outputs/huber_rolling_19block/models/huber_rolling_model_09.joblib,0.6880984684679946,0.935646741578814,-0.1821775677041246,0.5164038511014047,1.5112797524322406,0.6062788752056022,-0.5295970673554834,5.482438016740008,7.655785055972873,-1.4474405466823983
10,10,18,19,1287,143,2020-06-03,2025-10-17,2025-10-20,2025-10-20,2026-06-23,True,True,outputs/huber_rolling_19block/models/huber_rolling_model_10.joblib,0.8169956381670312,1.1474394032348396,0.2485939577445834,0.5541287270914992,1.893697004311241,0.6220247845050507,-0.4598695186340701,8.273651789534014,11.722845777985752,2.5591276089361434
