method,step,candidate,candidate_type,p_value,criterion_before,criterion_after,criterion_change,aic,bic,action
aic,0,nominal_yield_change_5d,feature,0.9154445267558134,-14002.416957209725,-14004.40548479879,-1.988527589064688,-14004.40548479879,-13877.438455620071,remove
aic,1,vix_momentum_5d,feature,0.8261092379602866,-14004.40548479879,-14006.356398881982,-1.9509140831924014,-14006.356398881982,-13884.679662585711,remove
aic,2,nominal_yield_change_1d,feature,0.8411346490989591,-14006.356398881982,-14008.31556722084,-1.9591683388571255,-14008.31556722084,-13891.929123807015,remove
aic,3,usdcnh_return_1d,feature,0.7970364367171401,-14008.31556722084,-14010.248392425323,-1.932825204483379,-14010.248392425323,-13899.152241893944,remove
aic,4,real_yield_change_5d,feature,0.7724221096395614,-14010.248392425323,-14012.163506165924,-1.9151137406006455,-14012.163506165924,-13906.357648516992,remove
aic,5,usdcnh_momentum_5d,feature,0.7619523662182842,-14012.163506165924,-14014.07044554179,-1.906939375867296,-14014.07044554179,-13913.554880775306,remove
aic,6,ma_gap_20d,feature,0.7528128948086473,-14014.07044554179,-14015.969925999281,-1.8994804574904265,-14015.969925999281,-13920.744654115242,remove
aic,7,sp500_return_1d,feature,0.7094065694389255,-14015.969925999281,-14017.8292807427,-1.859354743419317,-14017.8292807427,-13927.89430174111,remove
aic,8,momentum_20d,feature,0.6477683679721352,-14017.8292807427,-14019.618033784445,-1.7887530417447124,-14019.618033784445,-13934.9733476653,remove
aic,9,gvz_momentum_5d,feature,0.6531617222472136,-14019.618033784445,-14021.413797905476,-1.7957641210305155,-14021.413797905476,-13942.059404668777,remove
aic,10,oil_momentum_5d,feature,0.6004683357182174,-14021.413797905476,-14023.136576749663,-1.7227788441869052,-14023.136576749663,-13949.07247639541,remove
aic,11,volatility_5d,feature,0.5447732457389105,-14023.136576749663,-14024.766148509916,-1.6295717602533841,-14024.766148509916,-13955.99234103811,remove
aic,12,dollar_momentum_5d,feature,0.5211965088151084,-14024.766148509916,-14026.350798732801,-1.5846502228851023,-14026.350798732801,-13962.867284143442,remove
aic,13,sp500_momentum_5d,feature,0.618365204756746,-14026.350798732801,-14028.100492522457,-1.7496937896557938,-14028.100492522457,-13969.907270815544,remove
aic,14,real_yield_10y,feature,0.4603022213514299,-14028.100492522457,-14029.55102258348,-1.450530061023528,-14029.55102258348,-13976.648093759015,remove
aic,15,dollar_return_1d,feature,0.3293483480795434,-14029.55102258348,-14030.592700407358,-1.0416778238777624,-14030.592700407358,-13982.980064465339,remove
aic,16,vix_close_known,feature,0.3414670711788038,-14030.592700407358,-14031.681882588135,-1.0891821807763336,-14031.681882588135,-13989.359539528561,remove
aic,17,return_1d,feature,0.14068747564430326,-14031.681882588135,-14031.498801501875,0.18308108625933528,-14031.498801501875,-13994.46675132475,stop
