model,feature,standardized_coefficient
OLS,return_1d,-8.731060154530328e-05
OLS,momentum_5d,-4.991915175559436e-05
OLS,volatility_20d,-0.00024098089794784766
OLS,oil_return_1d,-0.0002168537658390802
OLS,real_yield_change_1d,0.00033141185946803926
OLS,breakeven_inflation_10y,-0.0002208122942003882
OLS,gvz_close_known,8.891729836058e-05
Ridge,return_1d,-8.025923871980605e-05
Ridge,momentum_5d,-5.112613319023283e-05
Ridge,volatility_20d,-0.00021152728456046776
Ridge,oil_return_1d,-0.00020347120272851344
Ridge,real_yield_change_1d,0.00031025873571738583
Ridge,breakeven_inflation_10y,-0.00020317988444335845
Ridge,gvz_close_known,6.791712329898282e-05
Lasso,return_1d,0.0
Lasso,momentum_5d,0.0
Lasso,volatility_20d,0.0
Lasso,oil_return_1d,0.0
Lasso,real_yield_change_1d,0.0
Lasso,breakeven_inflation_10y,0.0
Lasso,gvz_close_known,0.0
ElasticNet,return_1d,0.0
ElasticNet,momentum_5d,0.0
ElasticNet,volatility_20d,0.0
ElasticNet,oil_return_1d,0.0
ElasticNet,real_yield_change_1d,0.0
ElasticNet,breakeven_inflation_10y,0.0
ElasticNet,gvz_close_known,0.0
BaggedHuber,return_1d,-0.00015640196708059022
BaggedHuber,momentum_5d,-5.994994466680974e-05
BaggedHuber,volatility_20d,-0.0002980290451751664
BaggedHuber,oil_return_1d,-0.00010458970224875876
BaggedHuber,real_yield_change_1d,0.00011709639865720721
BaggedHuber,breakeven_inflation_10y,0.0002340860137329186
BaggedHuber,gvz_close_known,0.00012294216743310462
